"","Student_ID","Baseline_Score","End_Year_Score","School","Gender","Guardians","Guardian_Relationship","Guardian_Relative","Guardian_Marital","Last_Year_School_Attendance","Urban_Rural","County","HH_Income","FreeSchoolLunch","Year"
"1","1",120.934582808334,139.959537016263,4,1,1,1,1,0,1,0,2,10552,0,2011
"2","2",55.343070918625,108.157545919059,9,1,3,0,1,0,0,0,4,10596,0,2011
"3","3",92.0164824838327,100.436117525976,3,1,2,0,0,0,0,1,2,11434,0,2011
"4","4",43.2669641077131,117.60312342758,7,1,3,0,0,0,1,1,4,18615,0,2011
"5","5",154.461144648965,174.510862118416,10,1,3,0,0,1,0,0,5,11866,0,2011
"6","6",65.9139093821057,97.7027165593769,10,2,2,0,1,1,0,1,5,23310,0,2011
"7","7",107.645762993181,170.213021230286,1,1,3,0,1,0,0,1,0,23478,0,2011
"8","8",34.9235188027052,97.6752084042579,5,1,3,1,1,0,1,0,2,10004,0,2011
"9","9",287.743988297511,276.207117374852,7,1,3,0,1,0,0,1,4,20303,0,2011
"10","10",58.5491235692311,98.9718283096534,4,2,3,0,1,1,1,1,2,11290,0,2011
"11","11",44.32768323817,108.037770623395,8,2,2,0,1,0,1,0,4,19395,0,2011
"12","12",79.5848722665129,141.242248791808,4,2,2,1,0,1,0,1,2,20299,0,2011
"13","13",37.4415512840097,90.1567897913304,9,2,3,0,1,1,0,0,4,23713,0,2011
"14","14",99.641257177586,152.211318346777,3,2,1,1,1,1,1,0,2,18123,0,2011
"15","15",103.356787465124,144.917605650464,6,1,2,0,0,1,1,1,3,10549,0,2011
"16","16",89.7166590497488,112.53321040723,1,2,2,0,0,0,1,1,0,10976,0,2011
"17","17",11.7793976434281,67.3681551338384,5,1,1,1,1,0,0,0,2,10573,0,2011
"18","18",157.884904192841,193.807278800703,8,1,3,0,1,1,0,1,4,10326,0,2011
"19","19",17.2834258588285,83.7587658430616,9,1,1,0,1,0,1,1,4,19284,0,2011
"20","20",27.969231114726,60.3248405014917,2,2,3,1,0,0,0,1,1,14597,0,2011
"21","21",163.623476575743,199.855063968168,9,1,3,0,1,1,0,1,4,16935,0,2011
"22","22",100.586645079456,131.746505022921,1,2,3,0,0,0,0,1,0,13413,0,2011
"23","23",62.7796491020203,111.692908221612,6,1,2,0,0,1,1,0,3,19868,0,2011
"24","24",41.345880140208,94.5538443344588,7,2,2,1,0,1,1,1,4,20187,0,2011
"25","25",30.8236838997944,80.4985043100768,7,1,2,1,0,1,1,1,4,21173,0,2011
"26","26",141.466500818553,158.129598975014,3,2,1,0,0,1,0,1,2,14578,0,2011
"27","27",43.6541507475079,81.1014807269984,4,2,3,0,1,0,0,0,2,19407,0,2011
"28","28",161.514309442767,201.64381640364,5,2,3,1,1,0,0,1,2,17426,0,2011
"29","29",54.526728182682,119.089573732851,1,1,3,0,0,0,1,1,0,13906,0,2011
"30","30",22.2237803036379,70.9137813471321,5,1,1,0,1,0,1,1,2,18816,0,2011
"31","31",53.7077237485533,119.767002608117,1,2,2,1,0,0,1,0,0,21026,0,2011
"32","32",6.0027597326516,68.1350755906299,10,1,2,1,0,1,1,1,5,23136,0,2011
"33","33",48.6071749490994,106.907132560468,3,2,2,1,0,0,0,1,2,15880,0,2011
"34","34",152.738090186824,160.706580916568,5,2,3,1,0,0,1,0,2,12172,0,2011
"35","35",36.0173587427078,78.6283841199763,2,2,2,1,0,0,1,1,1,12990,0,2011
"36","36",70.9591186250081,131.360772474133,5,2,2,0,0,0,1,0,2,13229,0,2011
"37","37",268.917953618196,285.10591836471,5,1,1,0,1,1,1,0,2,23860,0,2011
"38","38",51.2765197160531,80.6398461163859,5,2,1,1,1,0,1,0,2,16442,0,2011
"39","39",53.8585250438848,70.8287606978867,8,2,1,1,1,0,1,1,4,12673,0,2011
"40","40",76.1040897665574,102.263034825786,9,1,1,1,1,0,1,0,4,18453,0,2011
"41","41",126.92962262015,152.954881898775,2,2,2,1,0,1,0,0,1,17213,0,2011
"42","42",74.0058338288914,102.574282571804,3,1,1,1,0,1,0,0,2,22770,0,2011
"43","43",46.6339876640648,79.3487996862821,2,2,1,1,1,1,1,0,1,22436,0,2011
"44","44",79.7387243117576,134.454758088991,7,1,2,1,0,0,1,0,4,11425,0,2011
"45","45",79.8493389821874,124.624474829205,6,1,1,1,1,0,1,1,3,21865,0,2011
"46","46",87.6761910068217,146.962445679333,5,2,2,0,1,1,0,0,2,20977,0,2011
"47","47",5.97950342668994,63.182893831289,8,2,1,1,0,1,0,1,4,14959,0,2011
"48","48",115.733336345032,122.214893212326,10,2,3,1,1,0,0,0,5,10483,0,2011
"49","49",196.31863575924,208.597481384007,1,1,3,0,0,1,1,1,0,21359,0,2011
"50","50",81.8020110089848,127.944465587041,9,1,3,0,1,1,1,1,4,20115,0,2011
"51","51",150.696634687501,198.962025389473,6,2,3,0,0,0,0,0,3,19063,0,2011
"52","52",17.2530977485071,91.9663021530582,2,2,2,0,0,0,0,1,1,19246,0,2011
"53","53",5.51556945193153,52.4781695860182,9,2,2,1,0,1,0,0,4,12750,0,2011
"54","54",152.652388801544,195.369274967113,9,2,3,0,1,0,0,1,4,20111,0,2011
"55","55",74.4301434475657,107.621219294528,7,1,2,1,1,1,0,1,4,12191,0,2011
"56","56",40.7232304248297,96.1856958500474,6,1,2,0,0,1,0,1,3,17234,0,2011
"57","57",195.856056775313,201.449090625295,3,2,1,0,1,0,1,0,2,10827,0,2011
"58","58",157.345031929637,164.552709935186,9,2,2,0,0,1,0,1,4,14024,0,2011
"59","59",93.1324411765322,122.475346310537,5,2,2,1,0,0,0,0,2,21862,0,2011
"60","60",26.7934713768339,90.9659163076028,1,1,1,0,1,0,1,1,0,14206,0,2011
"61","61",59.4479763331677,90.3477492189272,9,2,3,1,1,1,0,1,4,12017,0,2011
"62","62",105.560598599873,134.952334623799,1,1,3,0,0,1,1,1,0,15037,0,2011
"63","63",9.43753888857495,77.3268943514894,3,1,2,1,0,1,1,0,2,11733,0,2011
"64","64",159.778906728339,176.388105701862,5,2,3,0,0,1,1,0,2,11398,0,2011
"65","65",103.659445740974,130.858064834822,3,1,1,0,1,0,0,1,2,20342,0,2011
"66","66",80.9942685008805,100.906303158942,8,2,2,0,1,0,1,0,4,12666,0,2011
"67","67",55.5886945307311,85.3644218113021,1,2,1,1,0,1,0,0,0,21767,0,2011
"68","68",66.8457292275383,119.559071179175,2,2,1,1,1,1,0,1,1,21436,0,2011
"69","69",90.4602172841093,118.94936765506,8,2,2,0,1,0,1,0,4,12895,0,2011
"70","70",110.208662920724,126.524418704504,3,2,2,1,1,0,1,1,2,16091,0,2011
"71","71",74.3427287440989,114.293902664105,4,1,3,0,0,1,0,0,2,15326,0,2011
"72","72",44.8611828861265,89.5212773991391,4,2,1,0,1,1,0,0,2,20621,0,2011
"73","73",94.2060682713934,111.984776530537,8,1,2,1,0,1,1,1,4,14494,0,2011
"74","74",87.5380802365623,138.412391382977,2,1,1,0,0,0,0,1,1,14647,0,2011
"75","75",194.288067761057,215.402180262062,1,1,1,0,0,1,0,0,0,21467,0,2011
"76","76",77.3806261940714,122.015937979867,8,1,1,0,1,1,0,0,4,20484,0,2011
"77","77",84.2134495399957,129.658967685829,9,1,1,1,1,0,0,0,4,10036,0,2011
"78","78",94.8164508072356,125.763817067675,1,1,2,0,0,0,1,0,0,22601,0,2011
"79","79",94.0705336213788,132.900385120643,10,2,1,0,1,0,0,0,5,16301,0,2011
"80","80",196.535374680765,209.34192274837,4,2,3,1,0,1,1,0,2,11396,0,2011
"81","81",47.6059175574263,110.388379216941,5,1,2,0,1,1,0,0,2,20767,0,2011
"82","82",148.246731087713,181.418288596501,7,1,1,1,1,0,0,1,4,18837,0,2011
"83","83",84.0377713068993,100.654490154633,5,2,2,0,0,0,1,1,2,13521,0,2011
"84","84",70.7316160936427,94.3163734383625,3,2,1,0,0,1,0,1,2,17462,0,2011
"85","85",60.164364380936,90.9782823943602,4,1,1,1,1,1,0,0,2,11167,0,2011
"86","86",51.8036500365529,98.569552135621,9,1,3,0,0,1,1,0,4,13870,0,2011
"87","87",54.6229999149706,97.0529258101544,6,1,1,1,0,1,0,0,3,23785,0,2011
"88","88",23.11860106754,52.452615382635,4,1,2,1,0,1,0,1,2,10225,0,2011
"89","89",1.32111966997006,45.82283321531,4,2,3,0,0,0,1,0,2,19245,0,2011
"90","90",105.315170004383,120.760159369768,6,1,2,1,1,1,0,0,3,11901,0,2011
"91","91",147.089095685899,148.95076397587,1,2,1,0,0,0,0,1,0,10636,0,2011
"92","92",41.1960665420006,86.6425652755466,8,1,2,0,0,0,0,1,4,15367,0,2011
"93","93",25.1733124403009,83.5744764267099,6,1,3,1,0,0,0,0,3,14056,0,2011
"94","94",45.8448072996148,99.8974113482996,4,1,2,0,0,1,1,0,2,19427,0,2011
"95","95",74.0237684607911,104.611184260732,3,2,1,1,1,1,1,1,2,10436,0,2011
"96","96",117.562945412163,162.889447430962,7,1,3,1,0,1,0,0,4,19112,0,2011
"97","97",40.6443433319979,105.858333290703,5,2,3,0,1,1,1,1,2,20831,0,2011
"98","98",32.000965217805,76.5771659047875,4,1,3,0,1,1,1,1,2,13499,0,2011
"99","99",80.044072930779,137.552518771264,10,1,2,1,1,0,1,1,5,18091,0,2011
"100","100",50.8057928695477,106.301857609884,7,2,1,1,1,1,1,1,4,19111,0,2011
"101","101",136.18790713982,163.103589589195,1,2,2,1,1,0,1,1,0,14067,0,2011
"102","102",75.0716023141782,100.501624733551,8,1,2,1,0,0,0,0,4,23751,0,2011
"103","103",126.128081351302,138.519184074435,10,1,1,1,0,1,1,0,5,18113,0,2011
"104","104",23.5706348840575,85.0823122933216,5,1,2,1,1,0,0,0,2,22478,0,2011
"105","105",79.7127465295227,135.774426812691,4,2,1,1,0,1,1,1,2,22614,0,2011
"106","106",27.7180557540296,77.4811521280579,1,1,1,0,0,1,0,1,0,22850,0,2011
"107","107",46.9167279355064,105.766772871379,3,1,2,0,0,1,0,1,2,13008,0,2011
"108","108",265.093345037427,244.984084579579,6,1,2,1,0,0,1,0,3,10052,0,2011
"109","109",171.79089868508,194.069781790074,9,1,2,1,1,1,1,0,4,13868,0,2011
"110","110",27.7761036838336,65.4772056267281,3,2,1,1,1,1,0,1,2,12883,0,2011
"111","111",3.69668488750431,71.7840238715053,2,1,2,0,1,0,1,0,1,12365,0,2011
"112","112",150.761710222534,177.922695743334,10,2,3,1,0,0,0,0,5,11493,0,2011
"113","113",170.603069492006,203.426690337701,7,1,1,0,0,0,0,1,4,18215,0,2011
"114","114",82.2878360040993,114.185359985252,9,2,3,1,0,1,1,0,4,10982,0,2011
"115","115",71.7490225452401,119.400395874482,6,2,3,0,0,1,1,1,3,16216,0,2011
"116","116",29.6955048099108,78.6598349926579,6,2,3,1,0,1,0,1,3,10050,0,2011
"117","117",165.999928019527,169.268244601496,9,1,3,1,1,0,0,0,4,16206,0,2011
"118","118",28.6304262078968,52.354119020145,5,1,1,0,0,1,1,1,2,10938,0,2011
"119","119",10.812909026708,54.9587042189657,2,1,1,0,1,1,1,0,1,23218,0,2011
"120","120",7.77953073452594,75.9712291635826,8,2,1,1,0,1,0,1,4,14801,0,2011
"121","121",1.1693354024107,43.0594346380716,5,2,2,1,0,1,1,1,2,17090,0,2011
"122","122",88.7503414908489,126.778637681506,1,2,2,0,1,1,0,1,0,23155,0,2011
"123","123",58.227565713541,106.314990354469,9,1,2,0,0,0,1,1,4,10195,0,2011
"124","124",10.2739985613009,52.855259991653,7,1,2,1,0,1,1,0,4,11506,0,2011
"125","125",20.0243634362608,65.1461383623719,9,2,2,1,1,1,1,1,4,10272,0,2011
"126","126",159.273714754067,167.263498833519,8,1,2,1,1,0,1,1,4,22806,0,2011
"127","127",166.608808770204,191.737188405978,2,2,1,0,0,0,1,1,1,12567,0,2011
"128","128",43.3483636596847,83.7590187051819,8,2,2,1,1,0,1,0,4,19490,0,2011
"129","129",149.84463477296,175.952331114063,2,1,3,1,0,1,1,0,1,18845,0,2011
"130","130",87.4233808031741,125.070628343224,3,2,1,1,0,0,0,1,2,10098,0,2011
